#adm2+name+i_spa+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_spa+is_latn,#adm2+name+alt2+i_spa+is_latn,#adm1+name+i_spa+is_latn,#adm1+code+v_pcode,#country+name+i_spa+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
n.a2,UY01002,,,,Artigas,UY01,Uraguay,UY,2017-10-11,2020-07-27,
n.a3,UY01003,,,,Artigas,UY01,Uraguay,UY,2017-10-11,2020-07-27,
n.a4,UY01004,,,,Artigas,UY01,Uraguay,UY,2017-10-11,2020-07-27,
n.a5,UY01005,,,,Artigas,UY01,Uraguay,UY,2017-10-11,2020-07-27,
n.a6,UY01006,,,,Artigas,UY01,Uraguay,UY,2017-10-11,2020-07-27,
n.a7,UY01007,,,,Artigas,UY01,Uraguay,UY,2017-10-11,2020-07-27,
n.a8,UY01008,,,,Artigas,UY01,Uraguay,UY,2017-10-11,2020-07-27,
n.a9,UY01009,,,,Artigas,UY01,Uraguay,UY,2017-10-11,2020-07-27,
n.a162,UY02162,,,,Canelones,UY02,Uraguay,UY,2017-10-11,2020-07-27,
n.a165,UY02165,,,,Canelones,UY02,Uraguay,UY,2017-10-11,2020-07-27,
n.a171,UY02171,,,,Canelones,UY02,Uraguay,UY,2017-10-11,2020-07-27,
n.a172,UY02172,,,,Canelones,UY02,Uraguay,UY,2017-10-11,2020-07-27,
n.a175,UY02175,,,,Canelones,UY02,Uraguay,UY,2017-10-11,2020-07-27,
n.a181,UY02181,,,,Canelones,UY02,Uraguay,UY,2017-10-11,2020-07-27,
n.a182,UY02182,,,,Canelones,UY02,Uraguay,UY,2017-10-11,2020-07-27,
n.a183,UY02183,,,,Canelones,UY02,Uraguay,UY,2017-10-11,2020-07-27,
n.a324,UY02324,,,,Canelones,UY02,Uraguay,UY,2017-10-11,2020-07-27,
n.a338,UY02338,,,,Canelones,UY02,Uraguay,UY,2017-10-11,2020-07-27,
n.a340,UY02340,,,,Canelones,UY02,Uraguay,UY,2017-10-11,2020-07-27,
n.a342,UY02342,,,,Canelones,UY02,Uraguay,UY,2017-10-11,2020-07-27,
n.a343,UY02343,,,,Canelones,UY02,Uraguay,UY,2017-10-11,2020-07-27,
n.a344,UY02344,,,,Canelones,UY02,Uraguay,UY,2017-10-11,2020-07-27,
n.a346,UY02346,,,,Canelones,UY02,Uraguay,UY,2017-10-11,2020-07-27,
n.a347,UY02347,,,,Canelones,UY02,Uraguay,UY,2017-10-11,2020-07-27,
n.a348,UY02348,,,,Canelones,UY02,Uraguay,UY,2017-10-11,2020-07-27,
n.a349,UY02349,,,,Canelones,UY02,Uraguay,UY,2017-10-11,2020-07-27,
n.a34,UY03034,,,,Cerro Largo,UY03,Uraguay,UY,2017-10-11,2020-07-27,
n.a46,UY03046,,,,Cerro Largo,UY03,Uraguay,UY,2017-10-11,2020-07-27,
n.a47,UY03047,,,,Cerro Largo,UY03,Uraguay,UY,2017-10-11,2020-07-27,
n.a52,UY03052,,,,Cerro Largo,UY03,Uraguay,UY,2017-10-11,2020-07-27,
n.a54,UY03054,,,,Cerro Largo,UY03,Uraguay,UY,2017-10-11,2020-07-27,
n.a55,UY03055,,,,Cerro Largo,UY03,Uraguay,UY,2017-10-11,2020-07-27,
n.a57,UY03057,,,,Cerro Largo,UY03,Uraguay,UY,2017-10-11,2020-07-27,
n.a61,UY03061,,,,Cerro Largo,UY03,Uraguay,UY,2017-10-11,2020-07-27,
n.a62,UY03062,,,,Cerro Largo,UY03,Uraguay,UY,2017-10-11,2020-07-27,
n.a65,UY03065,,,,Cerro Largo,UY03,Uraguay,UY,2017-10-11,2020-07-27,
n.a66,UY03066,,,,Cerro Largo,UY03,Uraguay,UY,2017-10-11,2020-07-27,
n.a67,UY03067,,,,Cerro Largo,UY03,Uraguay,UY,2017-10-11,2020-07-27,
n.a139,UY04139,,,,Colonia,UY04,Uraguay,UY,2017-10-11,2020-07-27,
n.a145,UY04145,,,,Colonia,UY04,Uraguay,UY,2017-10-11,2020-07-27,
