#adm1+name+i_eng+is_latn,#adm1+name+i_vie+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_eng+is_latn,#adm1+name+alt2+i_eng+is_latn,#adm1+name+alt1+i_vie+is_latn,#adm1+name+alt2+i_vie+is_latn,#country+name+i_eng+is_latn,#country+name+i_vie+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Ha Noi,TP. Hà Nội,VN101,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Hai Phong city,TP. Hải Phòng,VN103,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Vinh Phuc,Vĩnh Phúc,VN104,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Bac Ninh,Bắc Ninh,VN106,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Hai Duong,Hải Dương,VN107,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Hung Yen,Hưng Yên,VN109,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Ha Nam,Hà Nam,VN111,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Nam Dinh,Nam Định,VN113,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Thai Binh,Thái Bình,VN115,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Ninh Binh,Ninh Bình,VN117,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Ha Giang,Hà Giang,VN201,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Cao Bang,Cao Bằng,VN203,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Lao Cai,Lào Cai,VN205,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Bac Kan,Bắc Kạn,VN207,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Lang Son,Lạng Sơn,VN209,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Tuyen Quang,Tuyên Quang,VN211,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Yen Bai,Yên Bái,VN213,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Thai Nguyen,Thái Nguyên,VN215,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Phu Tho,Phú Thọ,VN217,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Bac Giang,Bắc Giang,VN221,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Quang Ninh,Quảng Ninh,VN225,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Lai Chau,Lai Châu,VN301,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Dien Bien,Điện Biên,VN302,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Son La,Sơn La,VN303,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Hoa Binh,Hòa Bình,VN305,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Thanh Hoa,Thanh Hóa,VN401,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Nghe An,Nghệ An,VN403,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Ha Tinh,Hà Tĩnh,VN405,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Quang Binh,Quảng Bình,VN407,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Quang Tri,Quảng Trị,VN409,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Thua Thien Hue,Thừa Thiên Huế,VN411,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Da Nang city,TP. Đà Nẵng,VN501,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Quang Nam,Quảng Nam,VN503,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Quang Ngai,Quảng Ngãi,VN505,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Binh Dinh,Bình Định,VN507,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Phu Yen,Phú Yên,VN509,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Khanh Hoa,Khánh Hòa,VN511,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Kon Tum,Kon Tum,VN601,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Gia Lai,Gia Lai,VN603,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Dak Lak,Đăk Lắk,VN605,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Dak Nong,Đăk Nông,VN606,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Lam Dong,Lâm Đồng,VN607,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Ho Chi Minh city,TP. Hồ Chí Minh,VN701,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Ninh Thuan,Ninh Thuận,VN705,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Binh Phuoc,Bình Phước,VN707,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Tay Ninh,Tây Ninh,VN709,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Binh Duong,Bình Dương,VN711,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Dong Nai,Đồng Nai,VN713,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Binh Thuan,Bình Thuận,VN715,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Ba Ria - Vung Tau,Bà Rịa - Vũng Tàu,VN717,,,,,,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
