#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Bulawayo,ZW1021,,,,Bulawayo,ZW10,Zimbabwe,ZW,2018-08-31,2020-11-26,
Buhera,ZW1101,,,,Manicaland,ZW11,Zimbabwe,ZW,2018-08-31,2020-11-26,
Chimanimani,ZW1102,,,,Manicaland,ZW11,Zimbabwe,ZW,2018-08-31,2020-11-26,
Chipinge,ZW1103,,,,Manicaland,ZW11,Zimbabwe,ZW,2018-08-31,2020-11-26,
Makoni,ZW1104,,,,Manicaland,ZW11,Zimbabwe,ZW,2018-08-31,2020-11-26,
Mutare,ZW1105,,,,Manicaland,ZW11,Zimbabwe,ZW,2018-08-31,2020-11-26,
Mutasa,ZW1106,,,,Manicaland,ZW11,Zimbabwe,ZW,2018-08-31,2020-11-26,
Nyanga,ZW1107,,,,Manicaland,ZW11,Zimbabwe,ZW,2018-08-31,2020-11-26,
Mutare Urban,ZW1121,,,,Manicaland,ZW11,Zimbabwe,ZW,2018-08-31,2020-11-26,
Rusape,ZW1122,,,,Manicaland,ZW11,Zimbabwe,ZW,2018-08-31,2020-11-26,
Chipinge Urban,ZW1123,,,,Manicaland,ZW11,Zimbabwe,ZW,2018-08-31,2020-11-26,
Bindura,ZW1201,,,,Mashonaland Central,ZW12,Zimbabwe,ZW,2018-08-31,2020-11-26,
Centenary/ Muzarabani,ZW1202,,,,Mashonaland Central,ZW12,Zimbabwe,ZW,2018-08-31,2020-11-26,
Guruve,ZW1203,,,,Mashonaland Central,ZW12,Zimbabwe,ZW,2018-08-31,2020-11-26,
Mazowe,ZW1204,,,,Mashonaland Central,ZW12,Zimbabwe,ZW,2018-08-31,2020-11-26,
Mount Darwin,ZW1205,,,,Mashonaland Central,ZW12,Zimbabwe,ZW,2018-08-31,2020-11-26,
Rushinga,ZW1206,,,,Mashonaland Central,ZW12,Zimbabwe,ZW,2018-08-31,2020-11-26,
Shamva,ZW1207,,,,Mashonaland Central,ZW12,Zimbabwe,ZW,2018-08-31,2020-11-26,
Mbire,ZW1208,,,,Mashonaland Central,ZW12,Zimbabwe,ZW,2018-08-31,2020-11-26,
Mvurwi,ZW1209,,,,Mashonaland Central,ZW12,Zimbabwe,ZW,2018-08-31,2020-11-26,
Bindura Urban,ZW1221,,,,Mashonaland Central,ZW12,Zimbabwe,ZW,2018-08-31,2020-11-26,
Chikomba,ZW1301,,,,Mashonaland East,ZW13,Zimbabwe,ZW,2018-08-31,2020-11-26,
Goromonzi,ZW1302,,,,Mashonaland East,ZW13,Zimbabwe,ZW,2018-08-31,2020-11-26,
Hwedza,ZW1303,,,,Mashonaland East,ZW13,Zimbabwe,ZW,2018-08-31,2020-11-26,
Marondera,ZW1304,,,,Mashonaland East,ZW13,Zimbabwe,ZW,2018-08-31,2020-11-26,
Mudzi,ZW1305,,,,Mashonaland East,ZW13,Zimbabwe,ZW,2018-08-31,2020-11-26,
Murehwa,ZW1306,,,,Mashonaland East,ZW13,Zimbabwe,ZW,2018-08-31,2020-11-26,
Mutoko,ZW1307,,,,Mashonaland East,ZW13,Zimbabwe,ZW,2018-08-31,2020-11-26,
Seke,ZW1308,,,,Mashonaland East,ZW13,Zimbabwe,ZW,2018-08-31,2020-11-26,
Uzumba Maramba Pfungwe,ZW1309,,,,Mashonaland East,ZW13,Zimbabwe,ZW,2018-08-31,2020-11-26,
Marondera Urban,ZW1321,,,,Mashonaland East,ZW13,Zimbabwe,ZW,2018-08-31,2020-11-26,
Ruwa,ZW1326,,,,Mashonaland East,ZW13,Zimbabwe,ZW,2018-08-31,2020-11-26,
Chegutu,ZW1401,,,,Mashonaland West,ZW14,Zimbabwe,ZW,2018-08-31,2020-11-26,
Hurungwe,ZW1402,,,,Mashonaland West,ZW14,Zimbabwe,ZW,2018-08-31,2020-11-26,
Kadoma Urban,ZW1403,,,,Mashonaland West,ZW14,Zimbabwe,ZW,2018-08-31,2020-11-26,
Kariba,ZW1404,,,,Mashonaland West,ZW14,Zimbabwe,ZW,2018-08-31,2020-11-26,
Makonde,ZW1405,,,,Mashonaland West,ZW14,Zimbabwe,ZW,2018-08-31,2020-11-26,
Zvimba,ZW1406,,,,Mashonaland West,ZW14,Zimbabwe,ZW,2018-08-31,2020-11-26,
Chinhoyi,ZW1421,,,,Mashonaland West,ZW14,Zimbabwe,ZW,2018-08-31,2020-11-26,
Chegutu Urban,ZW1423,,,,Mashonaland West,ZW14,Zimbabwe,ZW,2018-08-31,2020-11-26,
Kariba Urban,ZW1424,,,,Mashonaland West,ZW14,Zimbabwe,ZW,2018-08-31,2020-11-26,
Norton,ZW1425,,,,Mashonaland West,ZW14,Zimbabwe,ZW,2018-08-31,2020-11-26,
Karoi,ZW1426,,,,Mashonaland West,ZW14,Zimbabwe,ZW,2018-08-31,2020-11-26,
Mhondoro-Ngezi,ZW1427,,,,Mashonaland West,ZW14,Zimbabwe,ZW,2018-08-31,2020-11-26,
Sanyati,ZW1428,,,,Mashonaland West,ZW14,Zimbabwe,ZW,2018-08-31,2020-11-26,
Binga,ZW1501,,,,Matabeleland North,ZW15,Zimbabwe,ZW,2018-08-31,2020-11-26,
Bubi,ZW1502,,,,Matabeleland North,ZW15,Zimbabwe,ZW,2018-08-31,2020-11-26,
Hwange,ZW1503,,,,Matabeleland North,ZW15,Zimbabwe,ZW,2018-08-31,2020-11-26,
Lupane,ZW1504,,,,Matabeleland North,ZW15,Zimbabwe,ZW,2018-08-31,2020-11-26,
Nkayi,ZW1505,,,,Matabeleland North,ZW15,Zimbabwe,ZW,2018-08-31,2020-11-26,
Tsholotsho,ZW1506,,,,Matabeleland North,ZW15,Zimbabwe,ZW,2018-08-31,2020-11-26,
Umguza,ZW1507,,,,Matabeleland North,ZW15,Zimbabwe,ZW,2018-08-31,2020-11-26,
Hwange Urban,ZW1521,,,,Matabeleland North,ZW15,Zimbabwe,ZW,2018-08-31,2020-11-26,
Victoria Falls,ZW1522,,,,Matabeleland North,ZW15,Zimbabwe,ZW,2018-08-31,2020-11-26,
Beitbridge,ZW1601,,,,Matabeleland South,ZW16,Zimbabwe,ZW,2018-08-31,2020-11-26,
Bulilima,ZW1602,,,,Matabeleland South,ZW16,Zimbabwe,ZW,2018-08-31,2020-11-26,
Mangwe,ZW1603,,,,Matabeleland South,ZW16,Zimbabwe,ZW,2018-08-31,2020-11-26,
Gwanda,ZW1604,,,,Matabeleland South,ZW16,Zimbabwe,ZW,2018-08-31,2020-11-26,
Insiza,ZW1605,,,,Matabeleland South,ZW16,Zimbabwe,ZW,2018-08-31,2020-11-26,
Matobo,ZW1606,,,,Matabeleland South,ZW16,Zimbabwe,ZW,2018-08-31,2020-11-26,
Umzingwane,ZW1607,,,,Matabeleland South,ZW16,Zimbabwe,ZW,2018-08-31,2020-11-26,
Gwanda Urban,ZW1621,,,,Matabeleland South,ZW16,Zimbabwe,ZW,2018-08-31,2020-11-26,
Beitbridge Urban,ZW1622,,,,Matabeleland South,ZW16,Zimbabwe,ZW,2018-08-31,2020-11-26,
Plumtree,ZW1623,,,,Matabeleland South,ZW16,Zimbabwe,ZW,2018-08-31,2020-11-26,
Chirumhanzu,ZW1701,,,,Midlands,ZW17,Zimbabwe,ZW,2018-08-31,2020-11-26,
Gokwe North,ZW1702,,,,Midlands,ZW17,Zimbabwe,ZW,2018-08-31,2020-11-26,
Gokwe South,ZW1703,,,,Midlands,ZW17,Zimbabwe,ZW,2018-08-31,2020-11-26,
Gweru,ZW1704,,,,Midlands,ZW17,Zimbabwe,ZW,2018-08-31,2020-11-26,
Kwekwe,ZW1705,,,,Midlands,ZW17,Zimbabwe,ZW,2018-08-31,2020-11-26,
Mberengwa,ZW1706,,,,Midlands,ZW17,Zimbabwe,ZW,2018-08-31,2020-11-26,
Shurugwi,ZW1707,,,,Midlands,ZW17,Zimbabwe,ZW,2018-08-31,2020-11-26,
Zvishavane,ZW1708,,,,Midlands,ZW17,Zimbabwe,ZW,2018-08-31,2020-11-26,
Gweru Urban,ZW1721,,,,Midlands,ZW17,Zimbabwe,ZW,2018-08-31,2020-11-26,
Kwekwe Urban,ZW1722,,,,Midlands,ZW17,Zimbabwe,ZW,2018-08-31,2020-11-26,
Redcliff,ZW1723,,,,Midlands,ZW17,Zimbabwe,ZW,2018-08-31,2020-11-26,
Zvishavane Urban,ZW1725,,,,Midlands,ZW17,Zimbabwe,ZW,2018-08-31,2020-11-26,
Shurugwi Town,ZW1728,,,,Midlands,ZW17,Zimbabwe,ZW,2018-08-31,2020-11-26,
Gokwe South Urban,ZW1729,,,,Midlands,ZW17,Zimbabwe,ZW,2018-08-31,2020-11-26,
Bikita,ZW1801,,,,Masvingo,ZW18,Zimbabwe,ZW,2018-08-31,2020-11-26,
Chiredzi,ZW1802,,,,Masvingo,ZW18,Zimbabwe,ZW,2018-08-31,2020-11-26,
Chivi,ZW1803,,,,Masvingo,ZW18,Zimbabwe,ZW,2018-08-31,2020-11-26,
Gutu,ZW1804,,,,Masvingo,ZW18,Zimbabwe,ZW,2018-08-31,2020-11-26,
Masvingo,ZW1805,,,,Masvingo,ZW18,Zimbabwe,ZW,2018-08-31,2020-11-26,
Mwenezi,ZW1806,,,,Masvingo,ZW18,Zimbabwe,ZW,2018-08-31,2020-11-26,
Zaka,ZW1807,,,,Masvingo,ZW18,Zimbabwe,ZW,2018-08-31,2020-11-26,
Masvingo Urban,ZW1821,,,,Masvingo,ZW18,Zimbabwe,ZW,2018-08-31,2020-11-26,
Chiredzi Urban,ZW1822,,,,Masvingo,ZW18,Zimbabwe,ZW,2018-08-31,2020-11-26,
Harare,ZW1921,,,,Harare,ZW19,Zimbabwe,ZW,2018-08-31,2020-11-26,
Chitungwiza,ZW1922,,,,Harare,ZW19,Zimbabwe,ZW,2018-08-31,2020-11-26,
Epworth,ZW1923,,,,Harare,ZW19,Zimbabwe,ZW,2018-08-31,2020-11-26,
Harare Rural,ZW1924,,,,Harare,ZW19,Zimbabwe,ZW,2018-08-31,2020-11-26,
