Codicem,/Educated guess on comprehensibility (1-100) of concept/,/Educated guess on stability (1-100) of local identifier if dictionary still in use in a century/,Numerordinatio,//Cōdex annotātiōnibus internālibus//,Regex,Wikidata QID,/Wiki P/,/Wiki P/; meta,Multiple languages,"Multiple languages, meta",Trivia,"IRI to book, if any","IRI to book, if any, meta",Cōdex factō,Cōdex factō; meta
#item+conceptum+codicem,#status+conceptum+definitionem,#status+conceptum+codicem,#item+rem+i_qcc+is_zxxx+ix_n1603,#item+rem+i_qcc+is_zxxx+ix_n1603ia,#item+rem+i_qcc+is_zxxx+ix_regex,#item+rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_qcc+is_zxxx+ix_wikip,#meta+rem+i_qcc+is_zxxx+ix_wikip,#item+rem+i_mul+is_zyyy,#meta+rem+i_mul+is_zyyy,#item+rem+i_mul+is_zyyy+ix_trivium,#item+rem+i_mul+is_zyyy+ix_trivium+ix_iri,#meta+rem+i_mul+is_zyyy+ix_trivium+ix_iri,#item+rem+i_qcc+is_zxxx+ix_codexfacto,#meta+rem+i_qcc+is_zxxx+ix_codexfacto
0_1603_1_7_2616_50,11,11,,,,,,,,,,,,EticaAI,
0_1603_1_7_2616_123,11,11,,,,,,,,,,,,EticaAI,
0_1603_1_7_2616_2479,11,11,,,,,,,,,,,,CC0-1.0,Creative Commons Zero v1.0 Universal
0_1603_1_7_2616_577,11,11,,,,,,,,,,,,2022-04-08,
0_1603_1_7_2616_859,11,11,,,,,,,,,,,,pro bonō publicō,
0_1603_1_7_2616_7535,11,11,,,,,,,,,,,,/Nomenclatura brasileira em 2000 via taxonomia numérica/@por-Latn,
1,70,70,1679:1,,,,,,//Meta dictiōnārium//,Meta dictionary = dictionary about dictionary,,,,,
1_1,60,60,1679:1:1,internale-100|publicum-10,,,,,//Nomenclatura Brasiliensi ad MM ex Numerordĭnātĭ//,Dataset which gives overview of all namespaces (hint: it's this file),,,,,
3,50,50,1679:3,,,Q1093434,,,Commūnitās scientiae,https://www.wikidata.org/wiki/Q1093434,[2003] Wikipedia,,,,
3_12,50,50,1679:3:12,,,Q2013,,,Vicidata,https://www.wikidata.org/wiki/Q2013,[2012] Wikidata,,,,
3_12_4251,11,11,1679:3:12:4251,,,,P4251,https://www.wikidata.org/wiki/Property:P4251,//número da legenda no TSE//@por-Latn,,,,,,
3_12_6204,11,11,1679:3:12:6204,,,Q15816867,P6204,https://www.wikidata.org/wiki/Property:P6204,//Cadastro Nacional da Pessoa Jurídica//@por-Latn,,,,,,
3_12_6555,11,11,1679:3:12:6555,,,,P6555,https://www.wikidata.org/wiki/Property:P6555,//identificador de Unidade Eleitoral brasileira//@por-Latn,,,,,,
