#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+ix_wikiq
19,Q983810
35,Q172512
51,Q983815
78,Q1646975
94,Q1761637
116,Q1803175
132,Q1749958
159,Q988755
175,Q1803223
191,Q1871362
213,Q656758
230,Q1785819
256,Q616498
272,Q1803210
299,Q1784242
310,Q1761456
337,Q1786028
353,Q1802100
370,Q2014329
396,Q1786440
418,Q1807456
434,Q993507
450,Q940433
477,Q2078405
493,Q1802170
515,Q2013150
531,Q1785860
558,Q2013187
566,Q2089326
574,Q2079711
582,Q727950
590,Q647208
604,Q775204
612,Q964725
620,Q1750177
639,Q607036
647,Q1786495
655,Q927349
663,Q2014320
671,Q2089179
680,Q1803135
698,Q1807445
701,Q1803114
710,Q1803269
728,Q1802123
736,Q1802050
744,Q2364475
752,Q1802088
779,Q1921800
787,Q1803105
795,Q1802095
809,Q735454
1007,Q1754408
1015,Q1800737
1023,Q1772602
1031,Q1772719
1040,Q1772613
1058,Q899406
1066,Q1772588
1074,Q941136
1082,Q1800776
1090,Q1772621
1104,Q1800793
1112,Q1755395
1120,Q953086
1139,Q1994833
1392,Q171612
1457,Q1754389
1473,Q979910
1490,Q1012531
1511,Q964075
1538,Q771763
1554,Q1772688
1570,Q1754403
2003,Q1112525
2011,Q1750332
2020,Q1808440
2038,Q931090
2046,Q1807045
2054,Q1793319
2070,Q1772695
2097,Q807939
2119,Q1772565
2135,Q1767926
2151,Q1793334
2178,Q2089660
2194,Q1807050
2216,Q1794236
2232,Q1751325
2259,Q645204
2275,Q1762074
2291,Q1646910
2313,Q1750090
2330,Q1793768
2356,Q1025760
2372,Q1754543
2399,Q1794374
2410,Q1750426
2437,Q1808448
2453,Q1757955
2470,Q1008285
2496,Q684641
2518,Q386631
2534,Q983526
2550,Q40236
2577,Q43490
2593,Q1763270
2615,Q1808581
2631,Q1793306
2658,Q1772535
2674,Q1793549
2690,Q926713
2712,Q1793494
2739,Q970224
2755,Q1794983
2771,Q2089673
2798,Q1794336
2810,Q975545
2836,Q694840
2852,Q1816370
2879,Q1793833
2895,Q1808573
2917,Q1772609
2933,Q974915
2950,Q584172
2976,Q940548
2992,Q945469
3000,Q748315
3018,Q181056
3026,Q1786374
3034,Q772563
3042,Q1646965
3050,Q1763240
3069,Q1646914
3077,Q1763254
3085,Q1646932
3093,Q1637423
3107,Q1637434
3115,Q1750038
3123,Q1647045
3131,Q1646960
3158,Q1751337
4006,Q2008317
4014,Q1615298
4022,Q2289846
4030,Q1804839
4049,Q2130429
4057,Q389536
4065,Q2008440
4073,Q2289869
4081,Q22060188
4090,Q22067014
4103,Q2008401
4111,Q434285
4120,Q2008261
4138,Q1804346
4146,Q2008573
4154,Q485887
4162,Q2009230
4170,Q1804338
4189,Q675175
4197,Q790342
4200,Q1805252
4219,Q1804902
4227,Q2008779
4235,Q804068
4243,Q2009202
4251,Q2009595
4260,Q1804899
4278,Q12829733
4286,Q2009409
4294,Q1804361
4308,Q2008624
4316,Q2078868
4324,Q2008337
4332,Q320487
4340,Q2008798
4359,Q1804770
4367,Q2003795
4375,Q2009108
4383,Q1787759
4391,Q1804813
4405,Q2008512
4413,Q1805206
4421,Q769811
4430,Q1947031
4448,Q2008139
4456,Q955914
4464,Q1841455
4472,Q984581
4480,Q1121422
4499,Q1899080
4502,Q942803
4510,Q2008619
4529,Q2008271
4537,Q1788037
4545,Q2289951
4553,Q2011907
4561,Q2008493
4570,Q1814514
4588,Q1804877
4596,Q2246005
4600,Q728098
4618,Q2011913
4626,Q602405
4634,Q2009058
4642,Q1805166
4650,Q651613
4669,Q2008789
4677,Q1880531
4685,Q2008521
4693,Q2008410
4707,Q2009474
4715,Q655734
4723,Q486142
4731,Q2008167
4740,Q2008226
4758,Q1967407
4766,Q947745
4774,Q1008242
4782,Q2008277
4790,Q2008564
4804,Q609824
4812,Q2008546
4820,Q2008293
4839,Q509818
4847,Q2289887
4855,Q2089279
4863,Q22074332
4871,Q1990477
4898,Q2011923
4910,Q2008596
4936,Q2008213
4952,Q2289897
4979,Q1804369
4995,Q2009430
5010,Q577167
5037,Q2008580
5053,Q2011919
5070,Q1829502
5096,Q935005
5118,Q2009222
5134,Q1804377
5150,Q2089210
5177,Q2011894
5193,Q2009663
5215,Q2329733
5231,Q1008198
5258,Q1921992
5274,Q640618
5290,Q2008554
5312,Q1901157
5339,Q2008589
5355,Q659450
5371,Q1811192
5398,Q2009548
5410,Q632789
5436,Q955985
5452,Q1807317
5479,Q2008769
5495,Q2008417
5517,Q2008532
5533,Q1868533
5550,Q609027
5576,Q1016643
5592,Q1805230
5614,Q374432
5630,Q1804913
5657,Q772569
5673,Q2381693
5690,Q2008301
5711,Q2008249
5738,Q2008429
5754,Q2009083
5770,Q2009048
5797,Q2008501
5819,Q2008125
5835,Q1806100
5851,Q2008449
5878,Q2008750
5894,Q2009519
5916,Q592117
5932,Q1975881
5959,Q2008237
5975,Q2008541
5991,Q2009212
6009,Q1772625
6017,Q586263
6025,Q1772692
6033,Q1754431
6041,Q368933
6050,Q180215
6068,Q1754422
6076,Q1800704
6084,Q1772647
6092,Q906717
6106,Q1754413
6114,Q1647054
6122,Q1772675
6130,Q1117969
6157,Q1994845
6173,Q1800762
7005,Q2013406
7013,Q532160
7021,Q373783
7030,Q939522
7048,Q2028638
7056,Q2013348
7064,Q2013356
7072,Q2013259
7080,Q2013296
7099,Q1812998
7102,Q2209464
7110,Q947834
7129,Q2068936
7137,Q2013314
7145,Q640733
7153,Q2013366
7161,Q2013308
7170,Q2041199
7188,Q2013283
7196,Q1813008
7200,Q2008013
7218,Q630926
7226,Q2013274
7234,Q1807313
7242,Q2105097
7250,Q2089681
7269,Q2068303
7277,Q1813001
7285,Q2068928
7293,Q591015
7307,Q2068871
7315,Q1807301
7323,Q2068253
7331,Q2040600
7340,Q2013248
7358,Q2068847
7366,Q2013324
7374,Q2068952
7382,Q1122744
7390,Q659888
7404,Q2068268
7412,Q2135872
7420,Q2068312
7439,Q2013234
7447,Q2068246
7455,Q934637
7463,Q2013267
7471,Q510992
7480,Q924546
7498,Q2068838
7501,Q2012506
7510,Q2103724
7528,Q2068274
7536,Q651807
7544,Q2068889
7552,Q2016480
7560,Q2068944
7579,Q997107
7595,Q2095187
7609,Q2012559
7617,Q746060
7625,Q432254
7633,Q2013225
7641,Q2068907
7650,Q2019296
7668,Q2068296
7676,Q369679
7684,Q1832376
7692,Q967552
7706,Q2068260
7714,Q1886395
7722,Q2012566
7730,Q1823871
7749,Q2103541
7757,Q646515
7765,Q781692
7773,Q2013171
7781,Q2068232
7790,Q2068880
7803,Q305180
7811,Q2034097
7820,Q2012976
7838,Q939995
7846,Q2012551
7854,Q14629944
7862,Q930035
7870,Q2012522
7889,Q2064676
7897,Q2068814
7900,Q743349
7919,Q2082297
7927,Q1846576
7935,Q2043418
7943,Q2013059
7951,Q2101408
7960,Q2013332
7978,Q1814500
7986,Q2066151
7994,Q2068290
8001,Q924503
8010,Q2068280
8028,Q2065084
8036,Q504755
8044,Q1876128
8052,Q2066188
8060,Q661607
8079,Q2012733
8087,Q1941672
8095,Q1875142
8109,Q2066074
8117,Q2068225
8125,Q2089748
8133,Q1008300
8141,Q2013023
8150,Q927111
8168,Q2065202
8176,Q2105837
8184,Q2012967
8192,Q2068220
8206,Q2065314
8214,Q2103736
8222,Q2012500
8230,Q2068240
8249,Q665255
8257,Q2012532
8265,Q1977781
8273,Q2012544
8281,Q2012495
8290,Q1116758
8303,Q742676
8311,Q2012513
8320,Q2105216
8338,Q2089741
8346,Q1966884
8354,Q2066198
8362,Q1907710
8370,Q2103583
8389,Q2065266
8397,Q2012463
8400,Q693685
8419,Q301700
8427,Q1947813
8435,Q2020346
8443,Q744797
8451,Q568168
8460,Q2064663
8478,Q2066100
8486,Q1904786
8494,Q628172
8508,Q1967899
8516,Q2064709
8524,Q1909011
8532,Q2261140
8540,Q2065244
8559,Q2013043
8567,Q2065285
8575,Q2043365
8583,Q2066033
8591,Q2066090
8605,Q2064492
8613,Q1957216
8621,Q2065169
8630,Q2066111
8656,Q2066022
8672,Q2065093
8699,Q1796449
8710,Q1833985
8737,Q2089300
8753,Q2104834
8770,Q2082418
8796,Q637452
8818,Q2104269
8834,Q2003321
8850,Q960537
8877,Q685271
8893,Q1006367
8915,Q2106358
8931,Q2064949
8958,Q2103762
8974,Q1977528
8990,Q2013052
9016,Q1915115
9032,Q2066051
9059,Q1806571
9075,Q2104116
9091,Q2065297
9113,Q2036695
9130,Q2065066
9156,Q2065076
9172,Q1919029
9199,Q2064621
9210,Q28441
9237,Q2065276
9253,Q2065231
9270,Q2095193
9296,Q2099666
9318,Q1873577
9334,Q2307499
9350,Q1008188
9377,Q1017101
9393,Q1957192
9415,Q634717
9431,Q2012483
9458,Q2064632
9474,Q1019640
9490,Q2106072
9512,Q2065110
9539,Q1120902
9555,Q2279959
9571,Q2469099
9598,Q2064653
9610,Q1763534
9636,Q2068863
9652,Q2064642
9679,Q2036277
9695,Q2066162
9717,Q1806488
10006,Q2329749
10014,Q1936312
10022,Q633346
10030,Q578114
10049,Q2049334
10057,Q636564
10065,Q2063977
10073,Q22060469
10081,Q2089257
10090,Q22059801
10103,Q1999799
10111,Q1892127
10120,Q1938976
10138,Q1938748
10146,Q2064592
10154,Q2064181
10162,Q2078429
10170,Q1940548
10189,Q2077715
10197,Q2064170
10200,Q2064280
10219,Q1809642
10227,Q2066010
10235,Q808836
